date,equity,benchmark_equity,drawdown,state
1995-04-03,13367.81,11032.08,-0.0112,ON
1995-04-04,13629.77,11104.15,0.0,ON
1995-04-05,13629.77,11104.15,0.0,ON
1995-04-06,13781.38,11145.32,0.0,ON
1995-04-07,13743.21,11135.03,-0.0028,ON
1995-04-10,13819.43,11155.62,0.0,ON
1995-04-11,13679.15,11117.87,-0.0102,ON
1995-04-12,13818.48,11155.62,-0.0001,ON
1995-04-13,14048.03,11217.39,0.0,ON
1995-04-17,13803.09,11152.19,-0.0174,ON
1995-04-18,13662.91,11114.44,-0.0274,ON
1995-04-19,13624.95,11104.15,-0.0301,ON
1995-04-20,13688.1,11121.3,-0.0256,ON
1995-04-21,13890.83,11176.21,-0.0112,ON
1995-04-24,14377.03,11306.6,0.0,ON
1995-04-25,14259.24,11275.72,-0.0082,ON
1995-04-26,14298.26,11286.01,-0.0055,ON
1995-04-27,14402.61,11313.46,0.0,ON
1995-04-28,14468.13,11330.62,0.0,ON
1995-05-01,14349.83,11299.74,-0.0082,ON
1995-05-02,14441.34,11323.76,-0.0019,ON
1995-05-03,15045.25,11481.6,0.0,ON
1995-05-04,15018.26,11474.74,-0.0018,ON
1995-05-05,14964.39,11461.02,-0.0054,ON
1995-05-08,15286.95,11543.37,0.0,ON
1995-05-09,15246.04,11533.07,-0.0027,ON
1995-05-10,15300.51,11546.8,0.0,ON
1995-05-11,15423.24,11577.68,0.0,ON
1995-05-12,15450.72,11584.55,0.0,ON
1995-05-15,15670.39,11639.45,0.0,ON
1995-05-16,15698.09,11646.31,0.0,ON
1995-05-17,15517.72,11601.71,-0.0115,ON
1995-05-18,14843.01,11433.56,-0.0545,ON
1995-05-19,14869.75,11440.43,-0.0528,ON
1995-05-22,15364.8,11567.39,-0.0212,ON
1995-05-23,15788.69,11673.76,0.0,ON
1995-05-24,15760.85,11666.9,-0.0018,ON
1995-05-25,15802.58,11677.2,0.0,ON
1995-05-26,15259.25,11543.37,-0.0344,ON
1995-05-30,15245.67,11539.94,-0.0352,ON
1995-05-31,16197.66,11780.14,0.0,ON
1995-06-01,16070.27,11749.26,-0.0079,ON
1995-06-02,16112.53,11759.55,-0.0053,ON
1995-06-05,16408.69,11831.61,0.0,ON
1995-06-06,16323.05,11811.02,-0.0052,ON
1995-06-07,16066.96,11749.26,-0.0208,ON
1995-06-08,15954.34,11721.8,-0.0277,ON
1995-06-09,15674.14,11653.18,-0.0448,ON
1995-06-12,15937.21,11718.38,-0.0287,ON
1995-06-13,16455.23,11845.34,0.0,ON
1995-06-14,16412.32,11835.04,-0.0026,ON
1995-06-15,16626.45,11886.51,0.0,ON
1995-06-16,16774.53,11921.8,0.0,ON
1995-06-19,17342.74,12056.41,0.0,ON
1995-06-20,17208.72,12025.36,-0.0077,ON
1995-06-21,17179.08,12018.45,-0.0094,ON
1995-06-22,17859.9,12177.22,0.0,ON
1995-06-23,17753.6,12153.06,-0.006,ON
1995-06-26,17118.3,12008.1,-0.0415,ON
1995-06-27,17014.98,11983.94,-0.0473,ON
1995-06-28,17279.56,12046.05,-0.0325,ON
1995-06-29,17190.49,12025.36,-0.0375,ON
1995-06-30,17160.88,12018.45,-0.0391,ON
1995-07-03,17353.07,12063.32,-0.0284,ON
1995-07-05,17546.73,12108.19,-0.0175,ON
1995-07-06,18221.98,12263.51,0.0,ON
1995-07-07,18468.15,12318.74,0.0,ON
1995-07-10,18499.19,12325.64,0.0,ON
1995-07-11,18234.99,12266.96,-0.0143,ON
1995-07-12,18912.27,12418.83,0.0,ON
1995-07-13,18786.1,12391.22,-0.0067,ON
1995-07-14,18739.05,12380.87,-0.0092,ON
1995-07-17,19052.46,12449.9,0.0,ON
1995-07-18,18561.23,12342.9,-0.0258,ON
1995-07-19,17953.98,12208.29,-0.0577,ON
1995-07-20,18151.91,12253.16,-0.0473,ON
1995-07-21,18090.54,12239.35,-0.0505,ON
1995-07-24,18488.49,12329.09,-0.0296,ON
1995-07-25,18907.75,12422.29,-0.0076,ON
1995-07-26,18860.47,12411.93,-0.0101,ON
1995-07-27,19332.51,12515.48,0.0,ON
1995-07-28,18964.61,12436.09,-0.019,ON
1995-07-31,18822.48,12405.02,-0.0264,ON
1995-08-01,18728.23,12384.32,-0.0313,ON
1995-08-02,18602.94,12356.7,-0.0377,ON
1995-08-03,18587.35,12353.25,-0.0385,ON
1995-08-04,18649.67,12367.06,-0.0353,ON
1995-08-07,18774.61,12394.67,-0.0289,ON
1995-08-08,18774.61,12394.67,-0.0289,ON
1995-08-09,18758.9,12391.22,-0.0297,ON
1995-08-10,18633.52,12363.61,-0.0362,ON
1995-08-11,18321.37,12294.57,-0.0523,ON
1995-08-14,18815.16,12405.02,-0.0268,ON
1995-08-15,18705.26,12380.87,-0.0324,ON
1995-08-16,18861.68,12415.38,-0.0244,ON
1995-08-17,18767.3,12394.67,-0.0292,ON
1995-08-18,18829.99,12408.48,-0.026,ON
1995-08-21,18672.87,12373.96,-0.0341,ON
1995-08-22,18782.25,12398.12,-0.0285,ON
1995-08-23,18578.31,12353.25,-0.039,ON
1995-08-24,18640.6,12367.06,-0.0358,ON
1995-08-25,18952.76,12436.09,-0.0196,ON
1995-08-28,18747.6,12391.22,-0.0303,ON
1995-08-29,18888.62,12422.29,-0.023,ON
1995-08-30,19014.56,12449.9,-0.0164,ON
1995-08-31,19062.02,12460.25,-0.014,ON
1995-09-01,19315.5,12515.48,-0.0009,ON
1995-09-05,19858.83,12632.83,0.0,ON
1995-09-06,19972.77,12656.99,0.0,ON
1995-09-07,20005.43,12663.89,0.0,ON
1995-09-08,20234.43,12712.22,0.0,ON
1995-09-11,20399.29,12746.74,0.0,ON
1995-09-12,20680.99,12805.41,0.0,ON
1995-09-13,20965.29,12864.09,0.0,ON
1995-09-14,21539.05,12981.44,0.0,ON
1995-09-15,21521.22,12977.86,-0.0008,ON
1995-09-18,21279.55,12929.28,-0.012,ON
1995-09-19,21587.95,12991.74,0.0,ON
1995-09-20,21899.3,13054.2,0.0,ON
1995-09-21,21357.96,12946.64,-0.0247,ON
1995-09-22,21375.11,12950.1,-0.0239,ON
1995-09-25,21272.02,12929.28,-0.0286,ON
1995-09-26,21254.89,12925.81,-0.0294,ON
1995-09-27,21203.55,12915.41,-0.0318,ON
1995-09-28,21682.07,13012.56,-0.0099,ON
1995-09-29,21560.65,12988.27,-0.0155,ON
1995-10-02,21232.32,12922.34,-0.0305,ON
1995-10-03,21300.73,12936.22,-0.0273,ON
1995-10-04,21232.18,12922.34,-0.0305,ON
1995-10-05,21420.33,12960.52,-0.0219,ON
1995-10-06,21471.92,12970.92,-0.0195,ON
1995-10-09,20937.72,12863.35,-0.0439,ON
1995-10-10,20903.82,12856.41,-0.0455,ON
1995-10-11,21106.95,12898.05,-0.0362,ON
1995-10-12,21498.75,12977.86,-0.0183,ON
1995-10-13,21705.7,13019.5,-0.0088,ON
1995-10-16,21393.29,12957.04,-0.0231,ON
1995-10-17,21823.03,13043.8,-0.0035,ON
1995-10-18,22014.61,13081.97,0.0,ON
1995-10-19,22329.88,13144.42,0.0,ON
1995-10-20,21923.18,13064.61,-0.0182,ON
1995-10-23,21783.41,13036.85,-0.0245,ON
1995-10-24,21852.97,13050.73,-0.0214,ON
1995-10-25,21312.59,12943.15,-0.0456,ON
1995-10-26,20729.8,12825.18,-0.0717,ON
1995-10-27,21200.95,12922.34,-0.0506,ON
1995-10-30,21610.85,13005.62,-0.0322,ON
1995-10-31,21334.07,12950.1,-0.0446,ON
1995-11-01,21848.55,13054.2,-0.0216,ON
1995-11-02,22266.72,13137.48,-0.0028,ON
1995-11-03,22354.94,13154.83,0.0,ON
1995-11-06,22124.95,13109.72,-0.0103,ON
1995-11-07,21879.01,13061.15,-0.0213,ON
1995-11-08,22471.89,13179.12,0.0,ON
1995-11-09,22720.39,13227.7,0.0,ON
1995-11-10,22684.65,13220.77,-0.0016,ON
1995-11-13,22613.21,13206.89,-0.0047,ON
1995-11-14,22167.57,13120.13,-0.0243,ON
1995-11-15,22835.91,13251.99,0.0,ON
1995-11-16,23212.66,13324.86,0.0,ON
1995-11-17,23430.24,13366.5,0.0,ON
1995-11-20,23065.35,13297.11,-0.0156,ON
1995-11-21,23625.1,13404.67,0.0,ON
1995-11-22,23404.94,13363.03,-0.0093,ON
1995-11-24,23587.27,13397.73,-0.0016,ON
1995-11-27,23605.57,13401.2,-0.0008,ON
1995-11-28,24357.41,13543.48,0.0,ON
1995-11-29,24432.27,13557.35,0.0,ON
1995-11-30,24263.47,13526.13,-0.0069,ON
1995-12-01,24356.82,13543.48,-0.0031,ON
1995-12-04,25255.46,13710.04,0.0,ON
1995-12-05,25754.03,13800.25,0.0,ON
1995-12-06,25928.89,13831.49,0.0,ON
1995-12-07,25519.06,13758.61,-0.0158,ON
1995-12-08,25770.08,13803.73,-0.0061,ON
1995-12-11,26100.45,13862.71,0.0,ON
1995-12-12,25865.28,13821.08,-0.009,ON
1995-12-13,26352.32,13907.83,0.0,ON
1995-12-14,25780.3,13807.2,-0.0217,ON
1995-12-15,25808.6,13812.25,-0.0206,ON
1995-12-18,24321.17,13546.9,-0.0771,ON
1995-12-19,25092.18,13690.05,-0.0478,ON
1995-12-20,24362.58,13557.37,-0.0755,ON
1995-12-21,24739.08,13627.2,-0.0612,ON
1995-12-22,25005.34,13676.09,-0.0511,ON
1995-12-26,25369.17,13742.42,-0.0373,ON
1995-12-27,25330.47,13735.43,-0.0388,ON
1995-12-28,25253.21,13721.47,-0.0417,ON
1995-12-29,25349.64,13738.93,-0.038,ON
1996-01-02,26161.32,13885.57,-0.0072,ON
1996-01-03,26378.4,13923.98,0.0,ON
1996-01-04,25624.35,13791.3,-0.0286,ON
1996-01-05,25468.68,13763.37,-0.0345,ON
1996-01-08,25759.43,13815.75,-0.0235,ON
1996-01-09,24431.38,13578.32,-0.0738,ON
1996-01-10,23470.25,13400.26,-0.1102,ON
1996-01-11,23892.18,13480.56,-0.0943,ON
1996-01-12,23780.81,13459.62,-0.0985,ON
1996-01-15,23632.75,13431.68,-0.1041,ON
1996-01-16,24498.93,13595.78,-0.0713,ON
1996-01-17,24272.42,13553.88,-0.0798,ON
1996-01-18,24516.25,13599.27,-0.0706,ON
1996-01-19,25007.25,13690.05,-0.052,ON
1996-01-22,25026.34,13693.54,-0.0513,ON
1996-01-23,25198.64,13724.96,-0.0447,ON
1996-01-24,25814.03,13836.69,-0.0214,ON
1996-01-25,25540.48,13787.81,-0.0318,ON
1996-01-26,26200.15,13906.52,-0.0068,ON
1996-01-29,26515.91,13962.39,0.0,ON
1996-01-30,27192.23,14081.1,0.0,ON
1996-01-31,28041.77,14227.74,0.0,ON
1996-02-01,28351.44,14280.11,0.0,ON
1996-02-02,27997.93,14220.76,-0.0125,ON
1996-02-05,28678.41,14335.97,0.0,ON
1996-02-06,29495.63,14472.14,0.0,ON
1996-02-07,30007.93,14555.93,0.0,ON
1996-02-08,30979.7,14713.05,0.0,ON
1996-02-09,30957.62,14709.56,-0.0007,ON
1996-02-12,31663.03,14821.28,0.0,ON
1996-02-13,31461.64,14789.86,-0.0064,ON
1996-02-14,30637.22,14660.68,-0.0324,ON
1996-02-15,30068.14,14569.9,-0.0504,ON
1996-02-16,29700.65,14510.55,-0.062,ON
1996-02-20,28821.66,14367.4,-0.0897,ON
1996-02-21,29893.3,14545.47,-0.0559,ON
1996-02-22,31313.96,14775.89,-0.011,ON
1996-02-23,31047.61,14734.0,-0.0194,ON
1996-02-26,29723.3,14524.51,-0.0613,ON
1996-02-27,29444.68,14479.12,-0.0701,ON
1996-02-28,29039.95,14412.78,-0.0828,ON
1996-02-29,28195.76,14273.12,-0.1095,ON
1996-03-01,29540.73,14500.07,-0.067,ON
1996-03-04,30052.86,14583.87,-0.0509,ON
1996-03-05,30894.67,14720.03,-0.0243,ON
1996-03-06,30081.24,14590.84,-0.05,ON
1996-03-07,30534.71,14664.16,-0.0356,ON
1996-03-08,27568.51,14189.33,-0.1293,ON
1996-03-11,28524.98,14353.43,-0.0991,ON
1996-03-12,27858.9,14241.7,-0.1201,ON
1996-03-13,28432.6,14339.46,-0.102,ON
1996-03-14,28806.42,14402.31,-0.0902,ON
1996-03-15,28748.35,14392.63,-0.0921,ON
1996-03-18,30408.53,14669.68,-0.0396,ON
1996-03-19,30212.23,14638.11,-0.0458,ON
1996-03-20,30103.64,14620.58,-0.0492,ON
1996-03-21,29887.05,14585.51,-0.0561,ON
1996-03-22,30124.24,14624.1,-0.0486,ON
1996-03-25,29950.79,14596.03,-0.0541,ON
1996-03-26,30382.62,14666.18,-0.0404,ON
1996-03-27,29554.38,14532.91,-0.0666,ON
1996-03-28,29896.68,14589.02,-0.0558,ON
1996-03-29,29465.47,14518.88,-0.0694,ON
1996-04-01,30490.41,14687.22,-0.037,ON
1996-04-02,30665.1,14715.27,-0.0315,ON
1996-04-03,30665.1,14715.27,-0.0315,ON
1996-04-04,30599.34,14704.75,-0.0336,ON
1996-04-08,29023.07,14452.25,-0.0834,ON
1996-04-09,28685.0,14396.14,-0.0941,ON
1996-04-10,27154.65,14140.13,-0.1424,ON
1996-04-11,27053.59,14122.59,-0.1456,ON
1996-04-12,28081.52,14301.45,-0.1131,ON
1996-04-15,28783.86,14420.68,-0.0909,ON
1996-04-16,29035.87,14462.77,-0.083,ON
1996-04-17,28824.66,14427.7,-0.0896,ON
1996-04-18,28950.77,14448.74,-0.0857,ON
1996-04-19,29161.63,14483.82,-0.079,ON
1996-04-22,29839.39,14596.03,-0.0576,ON
1996-04-23,30119.06,14641.63,-0.0488,ON
1996-04-24,29794.37,14589.02,-0.059,ON
1996-04-25,30202.61,14655.65,-0.0461,ON
1996-04-26,30397.8,14687.22,-0.04,ON
1996-04-29,30397.8,14687.22,-0.04,ON
1996-04-30,30332.45,14676.7,-0.042,ON
1996-05-01,30528.16,14708.26,-0.0358,ON
1996-05-02,28955.92,14455.76,-0.0855,ON
1996-05-03,28829.42,14434.71,-0.0895,ON
1996-05-06,28745.37,14420.68,-0.0921,ON
1996-05-07,28388.87,14361.07,-0.1034,ON
1996-05-08,29449.54,14539.92,-0.0699,ON
1996-05-09,29385.65,14529.41,-0.0719,ON
1996-05-10,30258.07,14673.19,-0.0444,ON
1996-05-13,31624.88,14894.13,-0.0012,ON
1996-05-14,32205.72,14985.32,0.0,ON
1996-05-15,32092.64,14967.78,-0.0035,ON
1996-05-16,32295.65,14999.34,0.0,ON
1996-05-17,32816.68,15080.0,0.0,ON
1996-05-20,33480.67,15181.71,0.0,ON
1996-05-21,33341.43,15160.66,-0.0042,ON
1996-05-22,34290.03,15304.44,0.0,ON
1996-05-23,33865.8,15241.32,-0.0124,ON
1996-05-24,34263.17,15300.94,-0.0008,ON
1996-05-28,33226.54,15146.63,-0.031,ON
1996-05-29,32557.23,15044.92,-0.0505,ON
1996-05-30,33058.15,15122.08,-0.0359,ON
1996-05-31,32322.14,15009.86,-0.0574,ON
1996-06-03,32594.0,15051.94,-0.0495,ON
1996-06-04,33277.49,15157.15,-0.0295,ON
1996-06-05,34155.25,15290.42,-0.0039,ON
1996-06-06,33403.18,15178.19,-0.0259,ON
1996-06-07,33403.18,15178.19,-0.0259,ON
1996-06-10,33079.02,15129.09,-0.0353,ON
1996-06-11,32987.07,15115.07,-0.038,ON
1996-06-12,32803.4,15087.02,-0.0434,ON
1996-06-13,32803.4,15087.02,-0.0434,ON
1996-06-14,32391.6,15023.89,-0.0554,ON
1996-06-17,32323.5,15013.36,-0.0573,ON
1996-06-18,31530.77,14890.63,-0.0805,ON
1996-06-19,31954.05,14957.26,-0.0681,ON
1996-06-20,31886.59,14946.73,-0.0701,ON
1996-06-21,32709.35,15075.29,-0.0461,ON
1996-06-24,32892.95,15103.49,-0.0407,ON
1996-06-25,32777.75,15085.86,-0.0441,ON
1996-06-26,32111.31,14983.62,-0.0635,ON
1996-06-27,32791.35,15089.39,-0.0437,ON
1996-06-28,33136.11,15142.27,-0.0337,ON
1996-07-01,33992.46,15272.72,-0.0087,ON
1996-07-02,33615.78,15216.3,-0.0197,ON
1996-07-03,33405.57,15184.59,-0.0258,ON
1996-07-05,30845.99,14796.76,-0.1004,ON
1996-07-08,30471.16,14736.83,-0.1114,ON
1996-07-09,30842.94,14796.76,-0.1005,ON
1996-07-10,31217.78,14856.71,-0.0896,ON
1996-07-11,29328.71,14557.03,-0.1447,ON
1996-07-12,29392.65,14567.61,-0.1428,ON
1996-07-15,26789.07,14137.48,-0.2188,ON
1996-07-16,26989.51,14172.74,-0.2129,ON
1996-07-17,27956.36,14341.98,-0.1847,ON
1996-07-18,29110.84,14539.4,-0.151,ON
1996-07-19,28475.55,14433.64,-0.1696,ON
1996-07-22,27849.56,14327.87,-0.1878,ON
1996-07-23,26780.53,14144.54,-0.219,ON
1996-07-24,26940.72,14172.74,-0.2143,ON
1996-07-25,27664.57,14299.67,-0.1932,ON
1996-07-26,28114.68,14377.23,-0.1801,ON
1996-07-29,27183.97,14218.58,-0.2072,ON
1996-07-30,27972.6,14356.08,-0.1842,ON
1996-07-31,28590.81,14461.84,-0.1662,ON
1996-08-01,30012.7,14701.58,-0.1247,ON
1996-08-02,31955.94,15018.87,-0.0681,ON
1996-08-05,31393.37,14930.74,-0.0845,ON
1996-08-06,31682.45,14976.57,-0.076,ON
1996-08-07,31928.61,15015.36,-0.0689,ON
1996-08-08,31771.17,14990.68,-0.0735,ON
1996-08-09,31457.33,14941.32,-0.0826,ON
1996-08-12,32147.63,15050.61,-0.0625,ON
1996-08-13,31379.53,14930.74,-0.0849,ON
1996-08-14,31712.95,14983.62,-0.0752,ON
1996-08-15,31533.92,14955.42,-0.0804,ON
1996-08-16,32336.73,15082.34,-0.057,ON
1996-08-19,32382.09,15089.39,-0.0556,ON
1996-08-20,32313.97,15078.81,-0.0576,ON
1996-08-21,31974.01,15025.93,-0.0675,ON
1996-08-22,32874.31,15166.96,-0.0413,ON
1996-08-23,32346.96,15085.86,-0.0567,ON
1996-08-26,31870.74,15011.83,-0.0706,ON
1996-08-27,32230.01,15068.24,-0.0601,ON
1996-08-28,32071.65,15043.56,-0.0647,ON
1996-08-29,31124.6,14895.48,-0.0923,ON
1996-08-30,30152.2,14740.36,-0.1207,ON
1996-09-03,30736.31,14835.55,-0.1036,ON
1996-09-04,30824.0,14849.65,-0.1011,ON
1996-09-05,29704.32,14669.85,-0.1337,ON
1996-09-06,30967.93,14877.86,-0.0969,ON
1996-09-09,32068.58,15054.13,-0.0648,ON
1996-09-10,32023.6,15047.09,-0.0661,ON
1996-09-11,32563.8,15131.7,-0.0503,ON
1996-09-12,33246.66,15237.47,-0.0304,ON
1996-09-13,34769.76,15470.15,0.0,ON
1996-09-16,35150.05,15526.55,0.0,ON
1996-09-17,34910.68,15491.31,-0.0068,ON
1996-09-18,34648.45,15452.52,-0.0143,ON
1996-09-19,35051.64,15512.46,-0.0028,ON
1996-09-20,35424.59,15567.48,0.0,ON
1996-09-23,35400.46,15563.94,-0.0007,ON
1996-09-24,35376.29,15560.4,-0.0014,ON
1996-09-25,35448.79,15571.03,0.0,ON
1996-09-26,35400.39,15563.94,-0.0014,ON
1996-09-27,35497.09,15578.12,0.0,ON
1996-09-30,35400.21,15563.94,-0.0027,ON
1996-10-01,35980.53,15648.99,0.0,ON
1996-10-02,36713.8,15755.3,0.0,ON
1996-10-03,36614.78,15741.13,-0.0027,ON
1996-10-04,38098.42,15953.75,0.0,ON
1996-10-07,38225.39,15971.47,0.0,ON
1996-10-08,37767.44,15907.69,-0.012,ON
1996-10-09,36883.99,15783.65,-0.0351,ON
1996-10-10,36660.43,15751.76,-0.0409,ON
1996-10-11,38021.28,15946.67,-0.0053,ON
1996-10-14,38173.34,15967.92,-0.0014,ON
1996-10-15,38020.88,15946.67,-0.0054,ON
1996-10-16,38578.47,16024.62,0.0,ON
1996-10-17,38885.66,16067.15,0.0,ON
1996-10-18,39503.11,16152.19,0.0,ON
1996-10-21,39347.12,16130.93,-0.0039,ON
1996-10-22,38517.35,16017.54,-0.025,ON
1996-10-23,38900.79,16070.69,-0.0152,ON
1996-10-24,37897.18,15932.49,-0.0407,ON
1996-10-25,37998.33,15946.67,-0.0381,ON
1996-10-28,37238.36,15840.35,-0.0573,ON
1996-10-29,38138.06,15967.92,-0.0346,ON
1996-10-30,37757.21,15914.77,-0.0442,ON
1996-10-31,38841.78,16067.15,-0.0167,ON
1996-11-01,38430.55,16010.45,-0.0272,ON
1996-11-04,39196.11,16116.76,-0.0078,ON
1996-11-05,39868.31,16208.9,0.0,ON
1996-11-06,42169.37,16520.74,0.0,ON
1996-11-07,42467.96,16559.73,0.0,ON
1996-11-08,43176.69,16651.85,0.0,ON
1996-11-11,43038.93,16634.14,-0.0032,ON
1996-11-12,42653.82,16584.53,-0.0121,ON
1996-11-13,43227.99,16658.94,0.0,ON
1996-11-14,44083.21,16768.8,0.0,ON
1996-11-15,44250.86,16790.06,0.0,ON
1996-11-18,44278.99,16793.62,0.0,ON
1996-11-19,45231.88,16914.08,0.0,ON
1996-11-20,45459.36,16942.44,0.0,ON
1996-11-21,45259.75,16917.64,-0.0044,ON
1996-11-22,46312.04,17048.75,0.0,ON
1996-11-25,48073.65,17264.92,0.0,ON
1996-11-26,47600.03,17208.22,-0.0099,ON
1996-11-27,47335.31,17176.32,-0.0154,ON
1996-11-29,47862.7,17240.11,-0.0044,ON
1996-12-02,47921.61,17247.18,-0.0032,ON
1996-12-03,45470.02,16953.07,-0.0542,ON
1996-12-04,45840.74,16999.15,-0.0464,ON
1996-12-05,45468.01,16953.07,-0.0542,ON
1996-12-06,44669.69,16853.85,-0.0708,ON
1996-12-09,46642.12,17101.92,-0.0298,ON
1996-12-10,45975.18,17020.4,-0.0437,ON
1996-12-11,44711.62,16864.48,-0.0699,ON
1996-12-12,42484.98,16584.53,-0.1163,ON
1996-12-13,42811.76,16627.05,-0.1095,ON
1996-12-16,41169.36,16414.42,-0.1436,ON
1996-12-17,42155.97,16545.55,-0.1231,ON
1996-12-18,43158.17,16676.66,-0.1022,ON
1996-12-19,45826.92,17020.4,-0.0467,ON
1996-12-20,46128.55,17057.75,-0.0405,ON
1996-12-23,45781.87,17015.01,-0.0477,ON
1996-12-24,46787.98,17139.66,-0.0267,ON
1996-12-26,47867.05,17271.42,-0.0043,ON
1996-12-27,48044.65,17292.78,-0.0006,ON
1996-12-30,46798.01,17143.21,-0.0265,ON
1996-12-31,44231.7,16829.85,-0.0799,ON
1997-01-02,44568.57,16872.57,-0.0729,ON
1997-01-03,46487.51,17114.73,-0.033,ON
1997-01-06,45268.76,16965.16,-0.0583,ON
1997-01-07,46922.11,17171.7,-0.024,ON
1997-01-08,45696.05,17022.14,-0.0495,ON
1997-01-09,46843.25,17164.58,-0.0256,ON
1997-01-10,48359.36,17349.76,0.0,ON
1997-01-13,48150.91,17324.84,-0.0043,ON
1997-01-14,49962.13,17542.06,0.0,ON
1997-01-15,49596.99,17499.33,-0.0073,ON
1997-01-16,50202.56,17570.55,0.0,ON
1997-01-17,51118.29,17677.38,0.0,ON
1997-01-20,51303.65,17698.75,0.0,ON
1997-01-21,52542.31,17841.19,0.0,ON
1997-01-22,53675.01,17969.39,0.0,ON
1997-01-23,51441.17,17720.11,-0.0416,ON
1997-01-24,49456.37,17492.21,-0.0786,ON
1997-01-27,49033.48,17442.35,-0.0865,ON
1997-01-28,49453.95,17492.21,-0.0786,ON
1997-01-29,50903.79,17663.15,-0.0516,ON
1997-01-30,52874.22,17891.05,-0.0149,ON
1997-01-31,52684.79,17869.69,-0.0184,ON
1997-02-03,53157.24,17923.1,-0.0096,ON
1997-02-04,54139.46,18033.5,0.0,ON
1997-02-05,51092.5,17695.19,-0.0563,ON
1997-02-06,52110.46,17812.71,-0.0375,ON
1997-02-07,54235.75,18054.87,0.0,ON
1997-02-10,52695.3,17883.93,-0.0284,ON
1997-02-11,54521.07,18090.48,0.0,ON
1997-02-12,56839.36,18346.88,0.0,ON
1997-02-13,58692.73,18546.3,0.0,ON
1997-02-14,58287.1,18503.57,-0.0069,ON
1997-02-18,59767.8,18660.26,0.0,ON
1997-02-19,58570.18,18535.62,-0.02,ON
1997-02-20,56443.39,18311.27,-0.0556,ON
1997-02-21,56509.28,18318.39,-0.0545,ON
1997-02-24,58519.62,18535.62,-0.0209,ON
1997-02-25,58654.42,18549.85,-0.0186,ON
1997-02-26,56931.66,18368.24,-0.0475,ON
1997-02-27,54381.96,18094.03,-0.0901,ON
1997-02-28,53900.4,18040.62,-0.0982,ON
1997-03-03,54985.57,18161.69,-0.08,ON
1997-03-04,54079.86,18061.98,-0.0952,ON
